# ratesweep 127.0.0.1:47190 bound 1e-05 1e-09 (A.3 default)
config	epoch_tt	object	lon_err	lat_err	dist_err_au_per_day	dist_err_per_au	flag
geo apparent, true of date, ecliptic	2461300.5	Sun	2.8934e-11	1.1506e-12	1.9410e-14	1.9309e-14	
geo apparent, true of date, ecliptic	2461300.5	Moon	1.4289e-09	2.6903e-10	1.3287e-13	1.3287e-13	
geo apparent, true of date, ecliptic	2461300.5	Mercury	3.3447e-11	9.5478e-12	3.9894e-13	3.0226e-13	
geo apparent, true of date, ecliptic	2461300.5	Venus	3.1768e-12	3.5257e-12	6.0620e-15	6.0620e-15	
geo apparent, true of date, ecliptic	2461300.5	Earth					unanswered errCode 2
geo apparent, true of date, ecliptic	2461300.5	Mars	3.3902e-11	3.3409e-11	1.1008e-12	6.2660e-13	
geo apparent, true of date, ecliptic	2461300.5	Jupiter	1.0178e-11	1.4625e-11	1.4836e-12	2.4448e-13	
geo apparent, true of date, ecliptic	2461300.5	Saturn	7.6040e-12	2.1854e-12	9.6724e-12	1.1405e-12	
geo apparent, true of date, ecliptic	2461300.5	Uranus	2.2034e-11	3.0315e-11	7.7629e-12	4.0639e-13	
geo apparent, true of date, ecliptic	2461300.5	Neptune	6.3325e-12	3.1671e-13	1.1327e-11	3.9214e-13	
geo apparent, true of date, ecliptic	2461300.5	Pluto	4.6023e-12	1.4768e-11	3.2793e-12	9.3802e-14	
geo apparent, true of date, ecliptic	2461300.5	Moon mean asc node	6.6574e-09	2.7548e-10	6.8929e-13	6.8929e-13	
geo apparent, true of date, ecliptic	2461300.5	Moon osc asc node	3.3854e-09	3.2203e-10	2.0579e-13	2.0579e-13	
geo apparent, true of date, ecliptic	2461300.5	Moon mean desc node	9.9090e-10	8.2708e-11	2.5457e-13	2.5457e-13	
geo apparent, true of date, ecliptic	2461300.5	Moon osc desc node	1.0127e-08	1.6191e-10	8.4919e-13	8.4919e-13	
geo apparent, true of date, ecliptic	2461300.5	Moon mean perihelion	3.6250e-09	9.0787e-10	7.1782e-14	7.1782e-14	
geo apparent, true of date, ecliptic	2461300.5	Moon osc perihelion	4.5252e-07	2.2526e-08	3.1308e-12	3.1308e-12	
