# ratesweep 127.0.0.1:47392 bound 0.005 0.0001 (advertised)
config	epoch_tt	object	lon_err	lat_err	dist_err	flag
geo apparent, true of date, ecliptic	2461300.5	Neptune	9.9560e-08	5.8879e-07	1.6734e-06	
geo apparent, true of date, ecliptic	2461300.5	Pluto	3.2229e-07	8.2180e-06	1.0621e-06	
geo apparent, true of date, ecliptic	2461300.5	Moon mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Moon osc asc node	4.8163e-08	0.0000e+00	1.2449e-11	
geo apparent, true of date, ecliptic	2461300.5	Moon mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Moon osc desc node	4.8163e-08	0.0000e+00	8.4951e-12	
geo apparent, true of date, ecliptic	2461300.5	Moon mean perihelion	1.9403e-11	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Moon osc perihelion	3.1723e-06	1.5237e-07	1.8053e-11	
geo apparent, true of date, ecliptic	2461300.5	Moon mean aphelion	1.3470e-08	9.4878e-06	4.0708e-16	
geo apparent, true of date, ecliptic	2461300.5	Moon osc aphelion	2.5213e-06	1.2121e-07	2.8208e-12	
geo apparent, true of date, ecliptic	2461300.5	Mercury mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Mercury osc asc node	1.7764e-09	1.1409e-06	1.3919e-06	
geo apparent, true of date, ecliptic	2461300.5	Mercury mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Mercury osc desc node	1.9610e-09	7.4347e-07	1.6296e-06	
geo apparent, true of date, ecliptic	2461300.5	Mercury mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Mercury osc perihelion	6.7251e-09	9.6499e-07	1.6133e-06	
geo apparent, true of date, ecliptic	2461300.5	Mercury mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Mercury osc aphelion	1.8133e-09	8.5207e-07	1.5556e-06	
geo apparent, true of date, ecliptic	2461300.5	Venus mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Venus osc asc node	6.9497e-09	8.4288e-07	1.3297e-06	
geo apparent, true of date, ecliptic	2461300.5	Venus mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Venus osc desc node	7.7792e-09	7.5420e-07	1.4209e-06	
geo apparent, true of date, ecliptic	2461300.5	Venus mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Venus osc perihelion	5.7704e-07	5.9123e-07	1.6181e-06	
geo apparent, true of date, ecliptic	2461300.5	Venus mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Venus osc aphelion	5.0616e-08	1.5852e-06	7.7845e-07	
geo apparent, true of date, ecliptic	2461300.5	Mars mean asc node	8.4886e-12	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Mars osc asc node	4.1791e-09	8.1569e-07	2.3387e-07	
geo apparent, true of date, ecliptic	2461300.5	Mars mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Mars osc desc node	1.2613e-08	4.2824e-07	1.4056e-06	
geo apparent, true of date, ecliptic	2461300.5	Mars mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Mars osc perihelion	4.6315e-08	1.8784e-06	5.2112e-07	
geo apparent, true of date, ecliptic	2461300.5	Mars mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Mars osc aphelion	1.1904e-08	3.6949e-07	1.6607e-06	
geo apparent, true of date, ecliptic	2461300.5	Jupiter mean asc node	9.7013e-12	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Jupiter osc asc node	6.8860e-10	1.7012e-07	7.5181e-07	
geo apparent, true of date, ecliptic	2461300.5	Jupiter mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Jupiter osc desc node	8.9337e-10	2.0198e-07	1.5537e-07	
geo apparent, true of date, ecliptic	2461300.5	Jupiter mean perihelion	1.2127e-11	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Jupiter osc perihelion	2.5327e-08	2.4676e-07	1.5344e-06	
geo apparent, true of date, ecliptic	2461300.5	Jupiter mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Jupiter osc aphelion	2.2041e-08	1.5227e-07	1.6206e-06	
geo apparent, true of date, ecliptic	2461300.5	Saturn mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Saturn osc asc node	2.8720e-08	9.8090e-08	9.6630e-07	
geo apparent, true of date, ecliptic	2461300.5	Saturn mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Saturn osc desc node	1.4615e-08	9.6305e-08	6.9733e-07	
geo apparent, true of date, ecliptic	2461300.5	Saturn mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Saturn osc perihelion	1.3334e-08	1.0694e-07	4.3122e-07	
geo apparent, true of date, ecliptic	2461300.5	Saturn mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2461300.5	Saturn osc aphelion	1.9418e-09	9.9291e-08	8.3832e-08	
geo apparent, true of date, ecliptic	2461300.5	Moon natural apogee	2.6777e-06	9.6207e-06	3.3064e-13	
geo apparent, true of date, ecliptic	2461300.5	Moon natural perigee	1.5348e-05	9.4485e-06	2.0653e-11	
geo apparent, true of date, ecliptic	2461300.5	Sirius	2.0532e-06	9.5373e-06	1.6485e-10	
geo apparent, true of date, ecliptic	2461300.5	Vega	5.0189e-06	9.4942e-06	2.3345e-11	
geo apparent, true of date, ecliptic	2461300.5	Polaris	3.4326e-07	9.8595e-06	1.6083e-11	
